PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description length,No. of meta descriptions,Is indexable page
40,https://28grams.vip/,28 Grams,text/html; charset=utf-8,false,200,0,0,"28 Grams — tools, guides, studies, and resources.",49,1,true
22,https://28grams.vip/turmeric-guide,The Ultimate Guide to Turmeric,text/html; charset=utf-8,false,200,0,0,"Fresh vs dried, health claims vs culinary reality, and the perfect golden milk.",79,1,true
22,https://28grams.vip/spice-blend-recipes,Essential DIY Spice Blend Recipes,text/html; charset=utf-8,false,200,0,0,"Master global flavors with exact ratios for Garam Masala, Za'atar, Ras el Hanout, and more.",91,1,true
22,https://28grams.vip/cooking-oils-compared,Every Cooking Oil Compared,text/html; charset=utf-8,false,200,0,0,"Every cooking oil compared: smoke point, flavor, nutrition, best uses, cost.",76,1,true
21,https://28grams.vip/guide-oil-smoke-points,Interactive Guide to Oil Smoke Points,text/html; charset=utf-8,false,200,0,0,"Interactive smoke point chart — sortable by oil, temp, best use.",64,1,true
21,https://28grams.vip/olive-oil-guide,Olive Oil Guide: EVOO vs Virgin vs Light,text/html; charset=utf-8,false,200,0,0,"Olive oil — EVOO vs virgin vs light, real vs fake, cooking myths.",65,1,true
21,https://28grams.vip/caffeine-comparison,"Caffeine Content Comparison: Coffee, Tea, Energy Drinks 2026",text/html; charset=utf-8,false,200,0,0,"Compare caffeine content per 8oz across 130 coffees, teas, energy drinks, and sodas.",84,1,true
21,https://28grams.vip/sesame-oil-guide,Sesame Oil Guide,text/html; charset=utf-8,false,200,0,0,"Sesame oil — toasted vs light, when to add it, Asian cooking essential.",71,1,true
21,https://28grams.vip/spice-storage-guide,The Ultimate Spice Storage Guide,text/html; charset=utf-8,false,200,0,0,"Maximizing shelf life, choosing the right containers, and the whole vs ground debate.",85,1,true
21,https://28grams.vip/smoked-paprika-guide,The Ultimate Guide to Smoked Paprika,text/html; charset=utf-8,false,200,0,0,"Sweet vs hot vs smoked, Spanish vs Hungarian, and the culinary secrets of Pimentón.",83,1,true
21,https://28grams.vip/high-heat-cooking-oils,Best Oils for High Heat,text/html; charset=utf-8,false,200,0,0,"Best oils for high heat — deep frying, searing, wok.",52,1,true
21,https://28grams.vip/vegetable-prep-times,Vegetable Prep Time & Cutting Guide | 28 Grams,text/html; charset=utf-8,false,200,0,0,"Interactive tool to find optimal cuts, prep times, and cooking methods for 30+ common vegetables.",97,1,true
21,https://28grams.vip/oil-nutrition-comparison,Oil Nutrition Comparison,text/html; charset=utf-8,false,200,0,0,"Oil nutrition comparison — omega ratios, sat/mono/poly fat, calories.",69,1,true
21,https://28grams.vip/avocado-oil-guide,Avocado Oil Guide,text/html; charset=utf-8,false,200,0,0,"Avocado oil — smoke point myth, refined vs unrefined, worth the price?",70,1,true
21,https://28grams.vip/coconut-oil-guide,Coconut Oil Guide,text/html; charset=utf-8,false,200,0,0,"Coconut oil — health claims debunked, refined vs virgin, best uses.",67,1,true
21,https://28grams.vip/cooking-oil-comparison,Cooking Oil Smoke Points & Nutrition Comparison 2026 | 28grams.vip,text/html; charset=utf-8,false,200,0,0,"The definitive comparison of every cooking oil — smoke point, fat composition, calories, best uses.",99,1,true
21,https://28grams.vip/spice-heat-scale,Interactive Spice Heat Scale,text/html; charset=utf-8,false,200,0,0,"Understanding the science of heat, a practical ranking of spices, and how to build tolerance.",93,1,true
21,https://28grams.vip/butter-vs-oil-cooking,Butter vs Oil in Cooking,text/html; charset=utf-8,false,200,0,0,"Butter vs oil — when to use each, brown butter, clarified/ghee.",63,1,true
21,https://28grams.vip/cinnamon-guide,The Ultimate Guide to Cinnamon,text/html; charset=utf-8,false,200,0,0,"Ceylon vs Cassia, sweet vs savory applications, and a complete buying guide.",76,1,true
