PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,AI content level,AI content status,No. of content words,Meta description,H1,Depth,Is indexable page
22,https://migratingmammals.com/guide-money-abroad-complete,Managing Money While Traveling: Complete Guide,text/html; charset=utf-8,false,200,0,High,Success,1045,"Learn how to handle money abroad efficiently. Discover the best travel cards, currency exchange strategies, ways to split costs, eSIMs for banking, and tips.",Managing Money While Traveling: Complete Guide,0,true
22,https://migratingmammals.com/guide-international-banking,International Banking Guide for Expats,text/html; charset=utf-8,false,200,0,High,Success,506,"Learn how to manage your money across borders using Wise, Revolut, local bank accounts, and effective currency exchange strategies.",International Banking Guide,0,true
22,https://migratingmammals.com/guide-digital-nomad-complete,The Complete Guide to Becoming a Digital Nomad (2026),text/html; charset=utf-8,false,200,0,High,Success,1175,"Everything about the digital nomad lifestyle: remote work visas, cost of living, taxes, best cities, coworking, and building location-independent income.",The Complete Guide to Becoming a Digital Nomad (2026),0,true
22,https://migratingmammals.com/best-travel-card-canada,Best Travel Credit Cards in Canada,text/html; charset=utf-8,false,200,0,High,Success,389,"A review of the best travel credit cards for Canadians, including the Amex Cobalt, Scotia Passport, and CIBC Aventura.",Best Travel Cards Canada,0,true
22,https://migratingmammals.com/best-nomad-cities-2026,25 Best Cities for Digital Nomads in 2026,text/html; charset=utf-8,false,200,0,High,Success,6096,"Ranked based on cost, internet, safety, visa, community, and weather.",25 Best Cities for Digital Nomads in 2026,0,true
21,https://migratingmammals.com/first-month-abroad-guide,First Month Abroad: A Step-by-Step Guide,text/html; charset=utf-8,false,200,0,High,Success,529,"Learn what to prioritize during your first month abroad, from finding long-term housing to registering with local authorities.",First Month Abroad,0,true
21,https://migratingmammals.com/guide-health-records-abroad,Guide to Managing Health Records Abroad,text/html; charset=utf-8,false,200,0,Very high,Success,480,"Learn how to organize your medical history, transfer prescriptions, and manage your health records when moving abroad.",Health Records Abroad,0,true
21,https://migratingmammals.com/flotilla-tracker,Flotilla Tracker & Logistics Calculator,text/html; charset=utf-8,false,200,0,High,Success,1081,"Plan your naval flotilla or convoy operations. Calculate fleet transit times, overall marine fuel consumption, and provision requirements.",Flotilla Tracker & Logistics Calculator,0,true
20,https://migratingmammals.com/cruise-tracker,Cruise Tracker & Voyage Calculator,text/html; charset=utf-8,false,200,0,Very high,Success,1345,Planning a cruise? You might be surprised by the hidden costs. Calculate your exact voyage expenses and track your journey here.,Cruise Tracker & Voyage Calculator,0,true
20,https://migratingmammals.com/cruise-ship-tracker,Cruise Ship Tracker & Voyage Calculator,text/html; charset=utf-8,false,200,0,Very high,Success,1144,"Calculate your cruise ship's estimated time of arrival (ETA), remaining distance, and current voyage progress based on speed and departure metrics.",Cruise Ship Tracker & Voyage Calculator,0,true
20,https://migratingmammals.com/google-flight-tracker,Google Flight Tracker & Route Analyzer,text/html; charset=utf-8,false,200,0,Very high,Success,1187,Want to know the real cost of your next trip? Discover the mechanics behind the Google flight tracker and see what airlines don't want you to know.,Flight Tracking Assistant,0,true
