PR,URL,Title,Content type,Is rendered page,HTTP status code,Canonical URL,Canonical URL code,Is self-canonical,Is indexable page,Organic traffic,No. of all inlinks,First found at
21,https://siliconbased.dev/chmod-calculator,Chmod Calculator: Unix File Permissions Made Easy,text/html; charset=utf-8,false,200,https://siliconbased.dev/chmod-calculator,200,true,true,0,12,
20,https://siliconbased.dev/cron-expression-generator,Cron Expression Generator & Explainer,text/html; charset=utf-8,false,200,https://siliconbased.dev/cron-expression-generator,200,true,true,0,2,
20,https://siliconbased.dev/jwt-decoder,"JWT Decoder: Decode, Inspect & Verify JSON Web Tokens Online",text/html; charset=utf-8,false,200,https://siliconbased.dev/jwt-decoder,200,true,true,0,1,
20,https://siliconbased.dev/json-formatter,"JSON Formatter & Validator — Format, Minify, and Validate",text/html; charset=utf-8,false,200,https://siliconbased.dev/json-formatter,200,true,true,0,2,
20,https://siliconbased.dev/guide-docker-basics,"Docker for Beginners: Images, Containers & Compose in 15",text/html; charset=utf-8,false,200,https://siliconbased.dev/guide-docker-basics,200,true,true,0,2,
20,https://siliconbased.dev/ip-address-lookup,"IP Address Lookup: Geolocation, ISP & Network Info",text/html; charset=utf-8,false,200,https://siliconbased.dev/ip-address-lookup,200,true,true,0,1,
20,https://siliconbased.dev/html-entity-encoder,HTML Entity Encoder & Decoder,text/html; charset=utf-8,false,200,https://siliconbased.dev/html-entity-encoder,200,true,true,0,1,
20,https://siliconbased.dev/git-cheat-sheet,Git Cheat Sheet: Every Command You Actually Need,text/html; charset=utf-8,false,200,https://siliconbased.dev/git-cheat-sheet,200,true,true,0,2,
20,https://siliconbased.dev/unix-timestamp-converter,Unix Timestamp Converter & Epoch Time Calculator,text/html; charset=utf-8,false,200,https://siliconbased.dev/unix-timestamp-converter,200,true,true,0,1,
20,https://siliconbased.dev/guide-api-authentication,"API Authentication Guide: API Keys, OAuth 2.0, JWT & Bearer",text/html; charset=utf-8,false,200,https://siliconbased.dev/guide-api-authentication,200,true,true,0,3,
20,https://siliconbased.dev/url-encoder-decoder,URL Encoder/Decoder: Percent-Encode & Decode URLs Online,text/html; charset=utf-8,false,200,https://siliconbased.dev/url-encoder-decoder,200,true,true,0,1,
20,https://siliconbased.dev/ssl-certificate-checker,"SSL Certificate Checker: Verify HTTPS, Expiry & Chain of",text/html; charset=utf-8,false,200,https://siliconbased.dev/ssl-certificate-checker,200,true,true,0,1,
20,https://siliconbased.dev/color-converter,"Color Converter: HEX to RGB, HSL, HSV & CMYK",text/html; charset=utf-8,false,200,https://siliconbased.dev/color-converter,200,true,true,0,2,
20,https://siliconbased.dev/guide-ssh-keys,"SSH Key Setup: Generate, Configure & Use SSH Keys",text/html; charset=utf-8,false,200,https://siliconbased.dev/guide-ssh-keys,200,true,true,0,2,
20,https://siliconbased.dev/dns-lookup,"DNS Lookup Tool: Query A, AAAA, MX, CNAME, TXT & NS Records",text/html; charset=utf-8,false,200,https://siliconbased.dev/dns-lookup,200,true,true,0,1,
20,https://siliconbased.dev/http-status-codes,HTTP Status Codes Reference: Every Code Explained with,text/html; charset=utf-8,false,200,https://siliconbased.dev/http-status-codes,200,true,true,0,1,
20,https://siliconbased.dev/base64-encoder-decoder,Base64 Encoder/Decoder: Encode & Decode Text and Files,text/html; charset=utf-8,false,200,https://siliconbased.dev/base64-encoder-decoder,200,true,true,0,2,
